"Drawing Date","Winning Numbers","Powerball","Powerplay"
"2019-03-02","1 - 19 - 25 - 27 - 68","21","x2"
"2019-02-27","21 - 31 - 42 - 49 - 59","23","x5"
"2019-02-23","4 - 6 - 14 - 20 - 32","13","x2"
"2019-02-20","27 - 49 - 50 - 51 - 52","2","x2"
"2019-02-16","29 - 30 - 41 - 48 - 64","1","x4"
"2019-02-13","2 - 8 - 14 - 24 - 69","26","x2"
"2019-02-09","1 - 2 - 3 - 7 - 39","25","x3"
"2019-02-06","5 - 13 - 28 - 38 - 63","21","x5"
"2019-02-02","10 - 17 - 18 - 43 - 65","13","x5"
"2019-01-30","2 - 12 - 16 - 29 - 54","6","x2"
"2019-01-26","8 - 12 - 20 - 21 - 32","10","x4"
"2019-01-23","23 - 25 - 47 - 48 - 50","24","x3"
"2019-01-19","5 - 8 - 41 - 65 - 66","20","x3"
"2019-01-16","14 - 29 - 31 - 56 - 61","1","x2"
"2019-01-12","7 - 36 - 48 - 57 - 58","24","x2"
"2019-01-09","6 - 19 - 37 - 49 - 59","22","x3"
"2019-01-05","3 - 7 - 15 - 27 - 69","19","x2"
"2019-01-02","8 - 12 - 42 - 46 - 56","12","x2"
"2018-12-29","12 - 42 - 51 - 53 - 62","25","x2"
"2018-12-26","5 - 25 - 38 - 52 - 67","24","x2"
"2018-12-22","21 - 28 - 30 - 40 - 59","26","x3"
"2018-12-19","15 - 29 - 31 - 37 - 43","16","x2"
"2018-12-15","8 - 38 - 43 - 52 - 55","17","x3"
"2018-12-12","4 - 9 - 21 - 29 - 64","26","x2"
"2018-12-08","14 - 32 - 34 - 46 - 61","10","x2"
"2018-12-05","9 - 11 - 36 - 37 - 38","11","x5"
"2018-12-01","10 - 11 - 47 - 55 - 58","26","x2"
"2018-11-28","4 - 19 - 59 - 68 - 69","21","x2"
"2018-11-24","11 - 33 - 51 - 56 - 58","18","x2"
"2018-11-21","7 - 14 - 23 - 38 - 55","18","x2"
"2018-11-17","6 - 8 - 20 - 52 - 68","5","x2"
"2018-11-14","7 - 42 - 49 - 62 - 69","23","x5"
"2018-11-10","5 - 29 - 34 - 53 - 57","24","x2"
"2018-11-07","26 - 28 - 34 - 42 - 50","25","x2"
"2018-11-03","15 - 21 - 24 - 32 - 65","11","x3"
"2018-10-31","7 - 25 - 39 - 40 - 47","20","x3"
"2018-10-27","8 - 12 - 13 - 19 - 27","4","x3"
"2018-10-24","3 - 21 - 45 - 53 - 56","22","x2"
"2018-10-20","16 - 54 - 57 - 62 - 69","23","x2"
"2018-10-17","3 - 57 - 64 - 68 - 69","15","x3"
"2018-10-13","11 - 14 - 32 - 43 - 65","15","x3"
"2018-10-10","8 - 23 - 27 - 42 - 60","7","x3"
"2018-10-06","1 - 22 - 27 - 53 - 67","15","x3"
"2018-10-03","41 - 53 - 59 - 63 - 66","3","x3"
"2018-09-29","9 - 17 - 34 - 59 - 64","22","x2"
"2018-09-26","1 - 2 - 7 - 30 - 50","8","x5"
"2018-09-22","24 - 61 - 63 - 64 - 69","18","x5"
"2018-09-19","4 - 39 - 48 - 50 - 51","11","x3"
"2018-09-15","2 - 18 - 19 - 24 - 34","3","x3"
"2018-09-12","6 - 28 - 48 - 63 - 64","24","x2"
"2018-09-08","3 - 13 - 20 - 32 - 33","21","x3"
"2018-09-05","6 - 15 - 50 - 59 - 60","13","x2"
"2018-09-01","11 - 54 - 55 - 61 - 66","9","x3"
"2018-08-29","25 - 41 - 53 - 57 - 67","12","x2"
"2018-08-25","20 - 25 - 54 - 57 - 63","8","x2"
"2018-08-22","1 - 7 - 45 - 47 - 69","13","x2"
"2018-08-18","24 - 34 - 52 - 61 - 67","16","x3"
"2018-08-15","12 - 15 - 28 - 47 - 48","16","x2"
"2018-08-11","5 - 43 - 56 - 62 - 68","24","x2"
"2018-08-08","10 - 21 - 30 - 43 - 63","17","x2"
"2018-08-04","3 - 11 - 38 - 44 - 58","2","x4"
"2018-08-01","5 - 22 - 32 - 38 - 58","26","x2"
"2018-07-28","22 - 27 - 46 - 56 - 65","13","x2"
"2018-07-25","2 - 18 - 41 - 44 - 64","26","x2"
"2018-07-21","9 - 23 - 56 - 58 - 68","1","x2"
"2018-07-18","1 - 10 - 27 - 28 - 36","12","x2"
"2018-07-14","22 - 41 - 42 - 49 - 67","11","x3"
"2018-07-11","19 - 21 - 27 - 46 - 47","7","x4"
"2018-07-07","1 - 10 - 43 - 45 - 64","22","x3"
"2018-07-04","4 - 7 - 15 - 41 - 44","10","x2"
"2018-06-30","3 - 9 - 20 - 42 - 61","24","x2"
"2018-06-27","7 - 28 - 37 - 62 - 63","15","x2"
"2018-06-23","16 - 29 - 43 - 45 - 56","25","x2"
"2018-06-20","4 - 14 - 23 - 27 - 56","13","x2"
"2018-06-16","9 - 45 - 57 - 58 - 65","9","x2"
"2018-06-13","13 - 20 - 38 - 45 - 55","1","x2"
"2018-06-09","6 - 10 - 15 - 25 - 36","14","x3"
"2018-06-06","23 - 28 - 41 - 53 - 56","14","x3"
"2018-06-02","23 - 25 - 37 - 44 - 64","7","x4"
"2018-05-30","17 - 23 - 26 - 46 - 68","20","x2"
"2018-05-26","1 - 21 - 31 - 45 - 49","21","x2"
"2018-05-23","20 - 54 - 56 - 61 - 64","7","x4"
"2018-05-19","3 - 6 - 9 - 17 - 56","25","x3"
"2018-05-16","17 - 19 - 21 - 22 - 51","19","x2"
"2018-05-12","22 - 42 - 45 - 55 - 56","14","x3"
"2018-05-09","11 - 16 - 38 - 50 - 69","19","x2"
"2018-05-05","14 - 29 - 36 - 57 - 61","17","x4"
"2018-05-02","5 - 14 - 31 - 40 - 50","6","x2"
"2018-04-28","20 - 22 - 28 - 45 - 50","8","x5"
"2018-04-25","17 - 18 - 39 - 56 - 64","12","x3"
"2018-04-21","40 - 50 - 54 - 62 - 69","19","x2"
"2018-04-18","9 - 10 - 12 - 17 - 23","9","x2"
"2018-04-14","17 - 19 - 26 - 61 - 62","15","x2"
"2018-04-11","16 - 18 - 27 - 55 - 67","18","x3"
"2018-04-07","2 - 17 - 20 - 38 - 39","20","x2"
"2018-04-04","8 - 24 - 42 - 54 - 64","24","x4"
"2018-03-31","8 - 24 - 52 - 55 - 61","21","x3"
"2018-03-28","6 - 8 - 26 - 52 - 53","21","x2"
"2018-03-24","10 - 33 - 45 - 53 - 56","24","x3"
"2018-03-21","3 - 4 - 18 - 29 - 61","25","x2"
"2018-03-17","22 - 57 - 59 - 60 - 66","7","x2"
"2018-03-14","6 - 12 - 24 - 41 - 68","9","x3"
"2018-03-10","43 - 44 - 54 - 61 - 69","22","x3"
"2018-03-07","6 - 13 - 19 - 36 - 51","18","x2"
"2018-03-03","13 - 17 - 25 - 36 - 40","5","x2"
"2018-02-28","12 - 30 - 59 - 65 - 69","16","x5"
"2018-02-24","24 - 25 - 38 - 62 - 63","6","x2"
"2018-02-21","7 - 15 - 31 - 34 - 36","8","x3"
"2018-02-17","13 - 26 - 39 - 44 - 62","2","x3"
"2018-02-14","37 - 39 - 44 - 46 - 69","26","x2"
"2018-02-10","1 - 13 - 27 - 41 - 59","20","x5"
"2018-02-07","23 - 34 - 35 - 40 - 47","10","x2"
"2018-02-03","15 - 23 - 27 - 48 - 53","6","x2"
"2018-01-31","4 - 7 - 14 - 46 - 59","22","x10"
"2018-01-27","17 - 21 - 26 - 47 - 54","7","x2"
"2018-01-24","5 - 9 - 11 - 33 - 64","21","x3"
"2018-01-20","26 - 28 - 47 - 49 - 58","3","x4"
"2018-01-17","3 - 33 - 37 - 51 - 57","21","x2"
"2018-01-13","14 - 25 - 35 - 58 - 69","24","x2"
"2018-01-10","7 - 24 - 33 - 49 - 50","4","x5"
"2018-01-06","12 - 29 - 30 - 33 - 61","26","x3"
"2018-01-03","2 - 18 - 37 - 39 - 42","12","x3"
"2017-12-30","28 - 36 - 41 - 51 - 58","24","x2"
"2017-12-27","3 - 9 - 16 - 56 - 60","3","x3"
"2017-12-23","1 - 3 - 13 - 15 - 44","25","x2"
"2017-12-20","1 - 20 - 61 - 64 - 69","20","x2"
"2017-12-16","9 - 35 - 37 - 50 - 63","11","x2"
"2017-12-13","2 - 24 - 28 - 51 - 58","7","x3"
"2017-12-09","25 - 36 - 37 - 55 - 60","6","x5"
"2017-12-06","19 - 20 - 50 - 55 - 62","9","x2"
"2017-12-02","28 - 30 - 32 - 36 - 58","6","x3"
"2017-11-29","24 - 26 - 28 - 59 - 63","16","x3"
"2017-11-25","8 - 13 - 27 - 53 - 54","4","x2"
"2017-11-22","35 - 37 - 46 - 51 - 61","13","x2"
"2017-11-18","17 - 28 - 31 - 32 - 39","26","x3"
"2017-11-15","23 - 32 - 44 - 48 - 50","25","x2"
"2017-11-11","4 - 6 - 16 - 30 - 56","18","x2"
"2017-11-08","12 - 14 - 20 - 21 - 34","22","x2"
"2017-11-04","12 - 14 - 26 - 48 - 51","13","x3"
"2017-11-01","3 - 6 - 19 - 26 - 44","1","x2"
"2017-10-28","27 - 35 - 38 - 57 - 66","10","x2"
"2017-10-25","18 - 22 - 29 - 54 - 57","8","x3"
"2017-10-21","14 - 41 - 42 - 45 - 69","4","x2"
"2017-10-18","30 - 49 - 54 - 66 - 69","8","x2"
"2017-10-14","32 - 37 - 56 - 66 - 69","11","x3"
"2017-10-11","1 - 3 - 13 - 19 - 69","23","x2"
"2017-10-07","10 - 49 - 61 - 63 - 65","7","x2"
"2017-10-04","22 - 23 - 62 - 63 - 66","24","x2"
"2017-09-30","8 - 12 - 25 - 41 - 64","15","x3"
"2017-09-27","8 - 10 - 21 - 23 - 25","22","x3"
"2017-09-23","24 - 45 - 55 - 56 - 57","19","x2"
"2017-09-20","39 - 48 - 53 - 67 - 68","26","x3"
"2017-09-16","17 - 18 - 24 - 25 - 31","24","x2"
"2017-09-13","17 - 24 - 35 - 57 - 63","19","x3"
"2017-09-09","6 - 20 - 29 - 57 - 59","22","x2"
"2017-09-06","8 - 14 - 32 - 58 - 67","17","x3"
"2017-09-02","6 - 21 - 41 - 52 - 62","26","x2"
"2017-08-30","19 - 28 - 43 - 67 - 69","7","x2"
"2017-08-26","7 - 15 - 32 - 38 - 66","15","x2"
"2017-08-23","6 - 7 - 16 - 23 - 26","4","x4"
"2017-08-19","17 - 19 - 39 - 43 - 68","13","x4"
"2017-08-16","9 - 15 - 43 - 60 - 64","4","x3"
"2017-08-12","20 - 24 - 26 - 35 - 49","19","x2"
"2017-08-09","12 - 30 - 36 - 47 - 62","9","x4"
"2017-08-05","11 - 21 - 28 - 33 - 45","11","x2"
"2017-08-02","1 - 16 - 54 - 63 - 69","18","x3"
"2017-07-29","1 - 28 - 40 - 45 - 48","12","x2"
"2017-07-26","7 - 19 - 21 - 42 - 69","12","x2"
"2017-07-22","5 - 32 - 44 - 53 - 60","9","x3"
"2017-07-19","50 - 51 - 59 - 61 - 63","4","x5"
"2017-07-15","9 - 40 - 63 - 64 - 66","17","x2"
"2017-07-12","1 - 2 - 18 - 23 - 61","9","x2"
"2017-07-08","8 - 10 - 29 - 40 - 59","26","x2"
"2017-07-05","4 - 9 - 16 - 54 - 68","21","x2"
"2017-07-01","19 - 42 - 45 - 48 - 53","16","x3"
"2017-06-28","29 - 37 - 46 - 53 - 68","8","x2"
"2017-06-24","10 - 22 - 32 - 36 - 58","10","x4"
"2017-06-21","14 - 46 - 61 - 65 - 68","13","x2"
"2017-06-17","10 - 13 - 32 - 53 - 62","21","x2"
"2017-06-14","5 - 22 - 43 - 57 - 63","24","x2"
"2017-06-10","20 - 26 - 32 - 38 - 58","3","x2"
"2017-06-07","5 - 21 - 57 - 66 - 69","13","x3"
"2017-06-03","3 - 9 - 21 - 41 - 54","25","x4"
"2017-05-31","4 - 33 - 39 - 46 - 60","6","x2"
"2017-05-27","5 - 10 - 28 - 55 - 67","9","x3"
"2017-05-24","28 - 32 - 33 - 38 - 62","15","x2"
"2017-05-20","5 - 22 - 45 - 47 - 54","3","x2"
"2017-05-17","4 - 11 - 39 - 45 - 48","9","x3"
"2017-05-13","17 - 20 - 32 - 63 - 68","19","x5"
"2017-05-10","29 - 31 - 46 - 56 - 62","8","x2"
"2017-05-06","11 - 21 - 31 - 41 - 59","21","x3"
"2017-05-03","17 - 18 - 49 - 59 - 66","9","x2"
"2017-04-29","22 - 23 - 24 - 45 - 62","5","x2"
"2017-04-26","1 - 15 - 18 - 26 - 51","26","x4"
"2017-04-22","21 - 39 - 41 - 48 - 63","6","x3"
"2017-04-19","1 - 19 - 37 - 40 - 52","15","x3"
"2017-04-15","5 - 22 - 26 - 45 - 61","13","x3"
"2017-04-12","8 - 14 - 61 - 63 - 68","24","x2"
"2017-04-08","23 - 36 - 51 - 53 - 60","15","x2"
"2017-04-05","8 - 20 - 46 - 53 - 54","13","x2"
"2017-04-01","9 - 32 - 36 - 44 - 65","1","x3"
"2017-03-29","8 - 15 - 31 - 36 - 62","11","x3"
"2017-03-25","18 - 31 - 32 - 45 - 48","16","x4"
"2017-03-22","2 - 9 - 27 - 29 - 42","9","x2"
"2017-03-18","13 - 25 - 44 - 54 - 67","5","x3"
"2017-03-15","16 - 30 - 41 - 48 - 53","16","x3"
"2017-03-11","1 - 26 - 41 - 50 - 57","11","x2"
"2017-03-08","23 - 33 - 42 - 46 - 59","4","x2"
"2017-03-04","2 - 18 - 19 - 22 - 63","19","x3"
"2017-03-01","10 - 16 - 40 - 52 - 55","17","x10"
"2017-02-25","6 - 32 - 47 - 62 - 65","19","x2"
"2017-02-22","10 - 13 - 28 - 52 - 61","2","x2"
"2017-02-18","3 - 7 - 9 - 31 - 33","20","x3"
"2017-02-15","5 - 28 - 33 - 38 - 42","19","x2"
"2017-02-11","5 - 9 - 17 - 37 - 64","2","x2"
"2017-02-08","14 - 20 - 42 - 49 - 66","5","x2"
"2017-02-04","6 - 13 - 16 - 17 - 52","25","x3"
"2017-02-01","9 - 43 - 57 - 60 - 64","10","x2"
"2017-01-28","12 - 20 - 39 - 49 - 69","17","x2"
"2017-01-25","18 - 28 - 62 - 66 - 68","22","x2"
"2017-01-21","23 - 25 - 45 - 52 - 67","2","x2"
"2017-01-18","9 - 40 - 41 - 53 - 58","12","x2"
"2017-01-14","23 - 55 - 59 - 64 - 69","13","x5"
"2017-01-11","1 - 3 - 13 - 16 - 43","24","x2"
"2017-01-07","3 - 12 - 24 - 37 - 63","10","x2"
"2017-01-04","16 - 17 - 29 - 41 - 42","4","x3"
"2016-12-31","1 - 3 - 28 - 57 - 67","9","x2"
"2016-12-28","16 - 23 - 30 - 44 - 58","4","x2"
